I_ARBRE X Y N_ESSENCE NOM N_PARCELLE
5 107 144 614 Mouamba 1
72 106.5 235.5 614 Mouamba 1
201 32 208 614 Mouamba 1
1657 2 174.5 614 Mouamba 1
1673 8.5 190 614 Mouamba 1
1677 5 192 614 Mouamba 1
1694 12.5 209.5 614 Mouamba 1
1698 11 217 614 Mouamba 1
1776 14.5 196 614 Mouamba 1
1795 17 183 614 Mouamba 1
1921 32 205.5 614 Mouamba 1
1924 27 208 614 Mouamba 1
1954 39 241 614 Mouamba 1
1963 42.5 234 614 Mouamba 1
1971 38.5 224 614 Mouamba 1
2086 55.5 180 614 Mouamba 1
2127 57.5 227.5 614 Mouamba 1
2404 87 127.5 614 Mouamba 1
345 128 146 614 Mouamba 1
473 145.5 154 614 Mouamba 1
487 141 126 614 Mouamba 1
493 145.5 129.5 614 Mouamba 1
508 159 140 614 Mouamba 1
513 152 143 614 Mouamba 1
514 150 139 614 Mouamba 1
563 156.5 208 614 Mouamba 1
791 190.5 227.5 614 Mouamba 1
1096 230 172 614 Mouamba 1
1254 241.5 140 614 Mouamba 1
1274 169.5 134 614 Mouamba 1
1402 230.5 180.5 614 Mouamba 1
1498 2 120.5 614 Mouamba 1
2494 48 82 614 Mouamba 1
2559 60.5 44 614 Mouamba 1
2630 68 101.5 614 Mouamba 1
2650 68.5 78 614 Mouamba 1
2661 68.5 69 614 Mouamba 1
2720 86.5 20.5 614 Mouamba 1
2793 92.5 100 614 Mouamba 1
2809 96 80 614 Mouamba 1
2811 96.5 77 614 Mouamba 1
2844 89.5 40 614 Mouamba 1
2857 96 27 614 Mouamba 1
2864 88.5 20 614 Mouamba 1
2952 103 110 614 Mouamba 1
2980 114.5 108 614 Mouamba 1
3000 118.5 80 614 Mouamba 1
3009 117.5 71.5 614 Mouamba 1
3032 114 48 614 Mouamba 1
3049 116.5 22 614 Mouamba 1
3082 92 22 614 Mouamba 1
3108 95 3 614 Mouamba 1
3142 98.5 124 614 Mouamba 1
97559 18 36.5 614 Mouamba 1
3314 134 86.5 614 Mouamba 1
3375 147 91.5 614 Mouamba 1
3379 142.5 82 614 Mouamba 1
3400 139 56.5 614 Mouamba 1
3401 142 57.5 614 Mouamba 1
3471 155 17.5 614 Mouamba 1
3481 152.5 31 614 Mouamba 1
3482 151 31 614 Mouamba 1
3499 150 59 614 Mouamba 1
3516 161 80 614 Mouamba 1
3528 163.5 88 614 Mouamba 1
3542 154 108 614 Mouamba 1
3564 171 121 614 Mouamba 1
3565 170 116 614 Mouamba 1
3596 166.5 80 614 Mouamba 1
3627 172.5 47 614 Mouamba 1
3777 199.5 102 614 Mouamba 1
3783 187.5 85 614 Mouamba 1
3831 192.5 20.5 614 Mouamba 1
3913 198 79.5 614 Mouamba 1
3974 215 89.5 614 Mouamba 1
4033 215.5 19.5 614 Mouamba 1
4289 157.5 50 614 Mouamba 1
4290 181.5 85.5 614 Mouamba 1
4302 170 120 614 Mouamba 1
4304 172 86.5 614 Mouamba 1
4315 128 17 614 Mouamba 1
4324 131 28 614 Mouamba 1
4339 189 88.5 614 Mouamba 1
4348 138 18 614 Mouamba 1
4380 215.5 74 614 Mouamba 1
97565 145.5 9.5 614 Mouamba 1
197 125 128 116 Wacapou  1
2091 58.5 187 116 Wacapou  1
357 133.5 151.5 116 Wacapou  1
490 148 128.5 116 Wacapou  1
502 160 131 116 Wacapou  1
509 159.5 141 116 Wacapou  1
667 168 152 116 Wacapou  1
686 183.5 126 116 Wacapou  1
1030 215.5 180 116 Wacapou  1
1054 213 148 116 Wacapou  1
1215 237 188.5 116 Wacapou  1
1234 241 166 116 Wacapou  1
1427 7.5 34 116 Wacapou  1
1446 5.5 57 116 Wacapou  1
1578 35.5 23 116 Wacapou  1
1582 34.5 30 116 Wacapou  1
1583 31.5 30.5 116 Wacapou  1
1589 31 41.5 116 Wacapou  1
2427 24.5 70.5 116 Wacapou  1
2463 38.5 108.5 116 Wacapou  1
2498 49 69.5 116 Wacapou  1
2624 62.5 104.5 116 Wacapou  1
2655 76 71 116 Wacapou  1
2680 73.5 45.5 116 Wacapou  1
2683 66.5 40 116 Wacapou  1
2687 71 32.5 116 Wacapou  1
2711 78 9.5 116 Wacapou  1
2732 79 45 116 Wacapou  1
2743 77 63 116 Wacapou  1
2828 92.5 52 116 Wacapou  1
2832 94 50 116 Wacapou  1
2834 93.5 47 116 Wacapou  1
2838 90 46 116 Wacapou  1
2858 97.5 29 116 Wacapou  1
2881 112.5 16 116 Wacapou  1
2890 102.5 26.5 116 Wacapou  1
2920 110 73.5 116 Wacapou  1
2950 105 102.5 116 Wacapou  1
2971 113.5 117 116 Wacapou  1
2981 117.5 105 116 Wacapou  1
2984 118 100 116 Wacapou  1
3034 113.5 45 116 Wacapou  1
3043 122 34 116 Wacapou  1
3046 114.5 30.5 116 Wacapou  1
3050 123 30 116 Wacapou  1
3057 118.5 22 116 Wacapou  1
3075 63 30 116 Wacapou  1
3162 19.5 54 116 Wacapou  1
3326 139 97 116 Wacapou  1
3337 133.5 108.5 116 Wacapou  1
3341 135 117 116 Wacapou  1
3344 129.5 123.5 116 Wacapou  1
3346 137.5 121 116 Wacapou  1
3351 143.5 117.5 116 Wacapou  1
3359 143.5 109 116 Wacapou  1
3369 146.5 100 116 Wacapou  1
3373 147 93 116 Wacapou  1
3377 141 87 116 Wacapou  1
3489 149.5 45 116 Wacapou  1
3492 159 45 116 Wacapou  1
3508 162 66 116 Wacapou  1
3532 152 91 116 Wacapou  1
3534 153 99 116 Wacapou  1
3576 171.5 102 116 Wacapou  1
3577 167.5 105 116 Wacapou  1
3579 170 100 116 Wacapou  1
3580 166.5 99 116 Wacapou  1
3594 164.5 83 116 Wacapou  1
3656 173.5 19 116 Wacapou  1
3693 187 22 116 Wacapou  1
3696 177 37.5 116 Wacapou  1
3701 186.5 52 116 Wacapou  1
3738 180 101 116 Wacapou  1
3747 175 113 116 Wacapou  1
3806 198.5 60 116 Wacapou  1
3813 192.5 50.5 116 Wacapou  1
3968 218.5 97 116 Wacapou  1
4006 220 51.5 116 Wacapou  1
4105 236.5 53 116 Wacapou  1
4159 250 122 116 Wacapou  1
4256 247.5 9 116 Wacapou  1
4326 153.5 53.5 116 Wacapou  1
4340 233 62 116 Wacapou  1
15308 11 212.5 614 Mouamba 4
15356 16.5 161.5 614 Mouamba 4
15378 16 131 614 Mouamba 4
15384 10 126 614 Mouamba 4
15461 24 242 614 Mouamba 4
15513 34 190 614 Mouamba 4
15525 38.5 178 614 Mouamba 4
15536 33.5 168 614 Mouamba 4
15604 43 156 614 Mouamba 4
15619 42.5 172.5 614 Mouamba 4
15621 42.5 174 614 Mouamba 4
15679 41.5 167 614 Mouamba 4
15736 56.5 159 614 Mouamba 4
15742 50 159.5 614 Mouamba 4
16033 98 140.5 614 Mouamba 4
16060 104 147 614 Mouamba 4
16068 105 151 614 Mouamba 4
16219 118 133.5 614 Mouamba 4
16226 116 131.5 614 Mouamba 4
16249 37.5 141 614 Mouamba 4
16260 3.5 134 614 Mouamba 4
16265 34 182 614 Mouamba 4
16279 25.5 190.5 614 Mouamba 4
16300 78 127.5 614 Mouamba 4
16302 106 137 614 Mouamba 4
16346 76.5 205 614 Mouamba 4
16408 98.5 126 614 Mouamba 4
16409 19 133.5 614 Mouamba 4
16503 10.5 176 614 Mouamba 4
104665 41.5 170.5 614 Mouamba 4
16802 139 228.5 614 Mouamba 4
16983 161 235 614 Mouamba 4
17039 169.5 192.5 614 Mouamba 4
17071 166.5 148.5 614 Mouamba 4
17104 171 150.5 614 Mouamba 4
17109 178 170.5 614 Mouamba 4
17246 186.5 127 614 Mouamba 4
17300 197 203 614 Mouamba 4
17321 193 248 614 Mouamba 4
17360 205.5 209.5 614 Mouamba 4
17371 208 193 614 Mouamba 4
17424 220 131.5 614 Mouamba 4
17440 212 149 614 Mouamba 4
17553 229.5 189 614 Mouamba 4
17617 230 149 614 Mouamba 4
17651 238 191 614 Mouamba 4
17846 207.5 230.5 614 Mouamba 4
17886 211.5 189 614 Mouamba 4
17909 150 184 614 Mouamba 4
17911 156.5 182 614 Mouamba 4
18061 228 159 614 Mouamba 4
18072 169 138 614 Mouamba 4
18075 173 143 614 Mouamba 4
18239 230.5 130.5 614 Mouamba 4
18288 231 176 614 Mouamba 4
18359 16 112 614 Mouamba 4
18390 8.5 71 614 Mouamba 4
18440 19 0 614 Mouamba 4
18699 55 74.5 614 Mouamba 4
18795 69 64.5 614 Mouamba 4
18803 67 71 614 Mouamba 4
18824 68 105 614 Mouamba 4
18888 73 58.5 614 Mouamba 4
18924 86.5 12 614 Mouamba 4
18933 89 17 614 Mouamba 4
18949 89 48 614 Mouamba 4
18969 80 83.5 614 Mouamba 4
18977 81 89.5 614 Mouamba 4
18984 83 98 614 Mouamba 4
18990 83 104 614 Mouamba 4
19008 79.5 123.5 614 Mouamba 4
19010 85 122 614 Mouamba 4
19016 98 124 614 Mouamba 4
19027 95 98 614 Mouamba 4
19041 93.5 64.5 614 Mouamba 4
19061 96.5 25.5 614 Mouamba 4
19066 98 16.5 614 Mouamba 4
19068 99.5 12.5 614 Mouamba 4
19079 104 7 614 Mouamba 4
19114 102 60 614 Mouamba 4
19175 100 125 614 Mouamba 4
19179 108 123 614 Mouamba 4
19180 111.5 120.5 614 Mouamba 4
19196 112.5 110 614 Mouamba 4
19209 116 91.5 614 Mouamba 4
19213 123 91.5 614 Mouamba 4
19225 115 85 614 Mouamba 4
19237 122.5 71.5 614 Mouamba 4
19260 117 43 614 Mouamba 4
